Basic Agent1
search : 2232   dist : 2555    Total : 4787
search : 4999   dist : 8731    Total : 13730
search : 2194   dist : 2537    Total : 4731
search : 1228   dist : 1338    Total : 2566
search : 199   dist : 206    Total : 405
search : 191   dist : 191    Total : 382
search : 926   dist : 991    Total : 1917
search : 1123   dist : 1223    Total : 2346
search : 400   dist : 415    Total : 815
search : 839   dist : 874    Total : 1713



Basic Agent2
search : 326   dist : 639    Total : 965
search : 570   dist : 1205    Total : 1775
search : 456   dist : 909    Total : 1365
search : 2947   dist : 7062    Total : 10009
search : 285   dist : 550    Total : 835
search : 612   dist : 1330    Total : 1942
search : 3137   dist : 8169    Total : 11306
search : 550   dist : 1133    Total : 1683
search : 233   dist : 393    Total : 626
search : 183   dist : 319    Total : 502
Basic Agent1
search : 1956   dist : 2269    Total : 4225
search : 835   dist : 887    Total : 1722
search : 2396   dist : 2851    Total : 5247
search : 1445   dist : 1679    Total : 3124
search : 2472   dist : 3041    Total : 5513
search : 1866   dist : 2076    Total : 3942
search : 4633   dist : 7501    Total : 12134
search : 867   dist : 899    Total : 1766
search : 634   dist : 676    Total : 1310
search : 1021   dist : 1065    Total : 2086



Basic Agent2
search : 594   dist : 1410    Total : 2004
search : 38   dist : 73    Total : 111
search : 594   dist : 1384    Total : 1978
search : 594   dist : 1401    Total : 1995
search : 593   dist : 1356    Total : 1949
search : 129   dist : 230    Total : 359
search : 179   dist : 360    Total : 539
search : 562   dist : 1252    Total : 1814
search : 480   dist : 1009    Total : 1489
search : 589   dist : 1339    Total : 1928
Basic Agent1
search : 768   dist : 820    Total : 1588
search : 1096   dist : 1156    Total : 2252
search : 1414   dist : 1528    Total : 2942
search : 423   dist : 438    Total : 861
search : 1332   dist : 1428    Total : 2760
search : 2161   dist : 2485    Total : 4646
search : 20   dist : 19    Total : 39
search : 708   dist : 739    Total : 1447
search : 1078   dist : 1157    Total : 2235
search : 1051   dist : 1089    Total : 2140



Basic Agent2
search : 577   dist : 1265    Total : 1842
search : 2895   dist : 7382    Total : 10277
search : 434   dist : 841    Total : 1275
search : 548   dist : 1150    Total : 1698
search : 250   dist : 506    Total : 756
search : 576   dist : 1269    Total : 1845
search : 568   dist : 1292    Total : 1860
search : 595   dist : 1305    Total : 1900
search : 3087   dist : 7977    Total : 11064
search : 209   dist : 417    Total : 626
Basic Agent1
search : 1775   dist : 1942    Total : 3717
search : 1338   dist : 1452    Total : 2790
search : 2430   dist : 2858    Total : 5288
search : 2147   dist : 2402    Total : 4549
search : 2372   dist : 2791    Total : 5163
