s, x, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, x, x, 0, x, 0, x, 0, 0, x, 0, 0, x, x, x, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0
2, 2, 2, 2, 2, 2, 2, 2, 2, x, x, 0, 0, x, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, x, 0, 0, 0, x, x, 0, 0, x, x, 0, x, 0, 0, 0, x, 0, 0, 0, x, 0, x, x, 0
0, 0, x, x, x, x, x, 0, 2, 2, 2, 2, 2, x, x, 0, 0, x, x, 0, 0, x, 0, 0, x, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0
x, 0, x, 0, x, x, 0, x, 0, x, x, 0, 2, 2, x, 0, x, 0, 0, x, x, 0, x, x, 0, 0, 0, 0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, x
x, 0, x, 0, x, x, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, x, 0, 0, x, 0, 0, 0, x, 0, 0, 0, x, 0, x, 0, 0, x, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, x, x, x, x
0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 2, x, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, x, x, x, x, 0, x, x, x
x, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 2, 2, 2, 2, 0, 0, 0, x, 0, 0, x, x, x, 0, 0, 0, 0, x, 0, x, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, x, 0, 0, 0
0, 0, x, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, x, 2, x, x, x, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, x, 0, x, 0, 0, x, 0, x
0, 0, 0, 0, 0, x, 0, 0, x, x, 0, x, x, 0, 0, 0, x, 0, 2, 2, 2, 2, 0, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, x, 0, x, x, x, 0, 0, 0, 0, 0, 0, x, x, 0
0, 0, 0, 0, 0, x, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, 2, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, x, 0, 0, x, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, 0
0, x, x, 0, 0, x, 0, 0, x, 0, 0, x, 0, x, x, x, 0, 0, x, 0, 0, 2, x, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, x, 0, 0, x, 0, 0, 0, 0, x, x, 0, x, 0, x, 0, 0
0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, x, x, 0, x, 0, 0, x, 0, 0, 2, x, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, x, x, 0, 0, 0, 0, 0, x, x, x, x, 0, 0, 0, 0, x
x, x, 0, x, 0, 0, 0, x, 0, x, x, 0, x, x, 0, 0, x, 0, 0, 0, 0, 2, x, x, 0, 0, 0, x, x, 0, x, 0, x, 0, 0, x, 0, 0, x, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, x, x, 0, x, 0, 0, 0, x, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, x, 0, 0, x, 0, 0, 0, x, x, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, x, x, x, x, 0, 0, x, 0, x, 0, 0, 0, 0, 2, x, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, x, x
0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, 0, 0, x, 0, 0, 0, x, 0, x, x, x, 0, 0, 0, x, 0, x, 0, 2, x, x, x, x, 0, x, x, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, 0, x
0, 0, x, 0, x, 0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, x, x, 0, x, 0, x, 0, x, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, x, 0, 0, 0, 0, 0
0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, x, 0, x, 0, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, x, 0, x, x, x, 0, 0, x, x, 2, 2, 2, 2, 0, 0, x
0, 0, x, x, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, x, x, 0, 0, 0, 0, x, 0, x, 0, x, 0, 0, x, 0, 0, 0, 0, x, 0, x, x, x, 0, 0, 0, 0, 0, 0, 0, x, 2, 0, 0, 0
0, 0, 0, 0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, x, x, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, x, x, 0, x, 0, x, 0, 0, x, x, 0, 0, 0, 0, x, 2, x, 0, x
0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 2, 0, x, x
0, 0, 0, 0, 0, x, x, 0, 0, x, 0, 0, 0, 0, 0, x, 0, x, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, x, 0, 0, x, 0, 0, x, 0, x, 0, 0, x, 0, 0, 0, x, 2, 0, x, 0
0, 0, x, x, 0, 0, 0, 0, 0, 0, x, 0, x, 0, 0, 0, 0, 0, 0, x, 0, x, 0, x, 0, 0, 0, 0, x, 0, x, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, x, 0, 0, 0, 2, 0, 0, 0
0, 0, 0, 0, x, x, 0, x, x, x, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, x, 0, 0, 0, 0, 0, 2, x, 0, 0
0, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, x, x, 0, 0, 0, x, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, x, 0, x, 0, 0, 0, x, 0, 0, x, 0, 2, 0, 0, 0
0, 0, x, 0, x, 0, 0, 0, 0, x, 0, x, x, 0, x, 0, x, x, 0, x, x, 0, 0, x, 0, x, x, 0, 0, 0, x, 0, x, x, 0, 0, x, x, 0, 0, 0, x, x, 0, 0, x, 2, 0, 0, 0
x, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, x, x, x, x, x, x, x, 0, x, 0, x, 0, 0, x, 0, x, x, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, x, 2, x, 0, 0
x, x, x, 0, 0, x, x, x, x, 0, 0, 0, x, 0, 0, x, 0, x, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, x, x, 0, 0, 0, x, 0, 0, 0, 0, x, 0, 0, x, 2, 2, 0, 0
0, 0, 0, x, 0, x, 0, 0, x, x, x, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, x, x, 0, 0, x, 0, x, 0, 0, 0, 2, 0, 0
0, 0, 0, x, 0, 0, x, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 2, x, x
0, 0, 0, 0, 0, x, x, 0, x, x, x, x, 0, 0, x, 0, 0, x, 0, 0, 0, x, 0, 0, x, 0, 0, x, x, 0, x, x, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, x
0, 0, 0, x, 0, 0, x, x, 0, 0, 0, 0, x, x, 0, 0, x, 0, 0, 0, x, 0, x, 0, 0, 0, x, x, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, x, 0, 0, 0, 0, 2, x, 0
x, 0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, x, x, x, 0, 0, 0, x, x, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, x, 0, 0, x, 2, x, 0
0, 0, 0, x, 0, x, 0, 0, 0, 0, 0, x, 0, x, 0, 0, x, 0, x, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, x, x, 0, 0, 0, x, x, 0, x, 2, 2, 0
0, 0, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, x, x, x, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0
0, x, 0, 0, x, 0, 0, 0, 0, x, x, x, 0, x, 0, x, 0, x, 0, x, 0, 0, x, x, 0, x, x, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, x, 0, x, 0, 0, 0, x, 0, 0, 0
0, 0, 0, 0, 0, x, x, 0, 0, x, x, x, 0, x, 0, 0, 0, x, x, 0, 0, 0, 0, 0, x, 0, x, x, x, x, 0, 0, 0, x, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0
0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, x, x, x, x, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, x, 0, 0, x, 0, 0, 0, x
x, 0, 0, x, x, 0, 0, x, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, x, 0, x, 0, 0, 0, x, 0, 0, x, x, 0, x, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0
0, x, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, x, x, 0, 0, 0, x, 0, x, 0, x, x, 0, 0, 0, 0, 0, x, x, 0, 0, x, 0, 0, x, 0, 0, 0, x, 0, x, 0, x, 0, 0, 0, 0, 0
0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, x, x, 0, 0, 0, x, 0, 0, 0, x, 0, x, 0, 0, 0, 0, 0, x, 0, x
0, 0, 0, x, x, x, x, 0, 0, x, 0, x, x, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, x, 0, 0, x, 0, x, 0, 0, x, 0, 0, 0, x, 0, 0
0, x, 0, 0, 0, 0, 0, 0, 0, 0, x, x, x, 0, 0, 0, x, x, 0, 0, 0, 0, 0, x, x, 0, 0, 0, x, 0, x, 0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, x, 0, 0
0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, x, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, 0, x, x, 0, x
x, x, 0, x, 0, x, 0, 0, x, 0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, x, 0, x, x, x, 0, 0, 0, 0, 0, 0, x, 0, 0, x
0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, x, 0, x, x, 0, 0, 0, 0, 0, 0, x, x, 0, x, x, 0, x, 0, 0, x, 0, 0, 0, 0, x, 0, 0, 0, 0, x, x, 0, 0, 0, 0
0, x, 0, 0, 0, x, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, 0, x, 0, 0, 0, 0, 0, 0, x, x, 0, 0, x, 0, 0, 0, x, 0, 0, x, 0, 0, 0, x, x
x, x, x, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, x, x, x, 0, 0, x, 0, 0, 0, 0, x, 0, x, 0, 0, 0, x, 0, 0, x, x, 0, x, 0, 0, 0
0, 0, 0, 0, 0, x, 0, x, 0, x, 0, 0, x, x, x, 0, 0, 0, 0, x, 0, x, 0, 0, 0, 0, 0, x, 0, x, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, 0
0, x, x, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, x, 0, 0, x, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, x, 0, g
